año,trimestre,provincia,banda_ancha_fija,dial_up,total
2017,1,Buenos Aires,3.178.174,11.202,3.189.376
2017,1,Capital Federal,1.391.030,8.016,1.399.046
2017,1,Catamarca,26.304,13.0,26.317
2017,1,Chaco,89.036,14.0,89.050
2017,1,Chubut,62.166,1.73,63.896
2017,1,Córdoba,641.066,133.0,641.199
2017,1,Corrientes,88.596,12.0,88.608
2017,1,Entre Ríos,180.296,57.0,180.353
2017,1,Formosa,29.705,0.0,29.705
2017,1,Jujuy,43.202,1.0,43.203
2017,1,La Pampa,71.458,455.0,71.913
2017,1,La Rioja,16.207,18.0,16.225
2017,1,Mendoza,169.282,1.451,170.733
2017,1,Misiones,97.619,0.0,97.619
2017,1,Neuquén,113.227,2.112,115.339
2017,1,Río Negro,100.288,1.0,101.288
2017,1,Salta,107.632,1.0,107.633
2017,1,San Juan,51.253,620.0,51.873
2017,1,San Luis,12.992,315.0,13.307
2017,1,Santa Cruz,26.116,370.0,26.486
2017,1,Santa Fe,562.520,362.0,562.882
2017,1,Santiago Del Estero,34.473,2.0,34.475
2017,1,Tierra Del Fuego,31.938,619.0,32.557
2017,1,Tucumán,152.734,37.0,152.771
2016,4,Buenos Aires,3.131.499,11.202,3.142.701
2016,4,Capital Federal,1.393.443,8.016,1.401.459
2016,4,Catamarca,27.021,13.0,27.034
2016,4,Chaco,88.833,14.0,88.847
2016,4,Chubut,62.035,1.73,63.765
2016,4,Córdoba,636.422,133.0,636.555
2016,4,Corrientes,88.084,12.0,88.096
2016,4,Entre Ríos,180.188,57.0,180.245
2016,4,Formosa,29.513,0.0,29.513
2016,4,Jujuy,42.624,1.0,42.625
2016,4,La Pampa,71.368,460.0,71.828
2016,4,La Rioja,16.298,18.0,16.316
2016,4,Mendoza,169.274,1.451,170.725
2016,4,Misiones,97.390,0.0,97.390
2016,4,Neuquén,111.723,2.112,113.835
2016,4,Río Negro,100.020,1.0,101.020
2016,4,Salta,106.934,1.0,106.935
2016,4,San Juan,51.301,620.0,51.921
2016,4,San Luis,12.992,315.0,13.307
2016,4,Santa Cruz,26.094,370.0,26.464
2016,4,Santa Fe,561.470,362.0,561.832
2016,4,Santiago Del Estero,35.049,2.0,35.051
2016,4,Tierra Del Fuego,31.938,619.0,32.557
2016,4,Tucumán,151.615,37.0,151.652
2016,3,Buenos Aires,3.075.387,11.205,3.086.592
2016,3,Capital Federal,1.395.053,8.051,1.403.104
2016,3,Catamarca,26.957,13.0,26.970
2016,3,Chaco,89.216,14.0,89.230
2016,3,Chubut,62.222,1.73,63.952
2016,3,Córdoba,642.458,133.0,642.591
2016,3,Corrientes,88.328,12.0,88.340
2016,3,Entre Ríos,181.092,57.0,181.149
2016,3,Formosa,27.716,0.0,27.716
2016,3,Jujuy,42.537,1.0,42.538
2016,3,La Pampa,69.903,461.0,70.364
2016,3,La Rioja,16.912,18.0,16.930
2016,3,Mendoza,169.174,1.45,170.624
2016,3,Misiones,97.997,0.0,97.997
2016,3,Neuquén,110.491,2.112,112.603
2016,3,Río Negro,100.024,1.002,101.026
2016,3,Salta,107.790,1.0,107.791
2016,3,San Juan,51.348,620.0,51.968
2016,3,San Luis,12.978,315.0,13.293
2016,3,Santa Cruz,25.886,371.0,26.257
2016,3,Santa Fe,566.625,386.0,567.011
2016,3,Santiago Del Estero,35.658,2.0,35.660
2016,3,Tierra Del Fuego,31.306,619.0,31.925
2016,3,Tucumán,151.282,37.0,151.319
2016,2,Buenos Aires,3.032.776,12.515,3.045.291
2016,2,Capital Federal,1.384.824,9.76,1.394.584
2016,2,Catamarca,26.543,13.0,26.556
2016,2,Chaco,88.235,16.0,88.251
2016,2,Chubut,62.116,1.74,63.856
2016,2,Córdoba,634.680,234.0,634.914
2016,2,Corrientes,86.932,24.0,86.956
2016,2,Entre Ríos,178.194,179.0,178.373
2016,2,Formosa,28.801,1.0,28.802
2016,2,Jujuy,41.187,2.0,41.189
2016,2,La Pampa,68.403,485.0,68.888
2016,2,La Rioja,16.718,18.0,16.736
2016,2,Mendoza,169.274,1.55,170.824
2016,2,Misiones,95.808,7.0,95.815
2016,2,Neuquén,108.224,2.291,110.515
2016,2,Río Negro,99.631,1.073,100.704
2016,2,Salta,104.929,3.0,104.932
2016,2,San Juan,51.392,621.0,52.013
2016,2,San Luis,12.939,317.0,13.256
2016,2,Santa Cruz,25.797,356.0,26.153
2016,2,Santa Fe,563.867,607.0,564.474
2016,2,Santiago Del Estero,36.958,3.0,36.961
2016,2,Tierra Del Fuego,30.740,619.0,31.359
2016,2,Tucumán,148.636,41.0,148.677
2016,1,Buenos Aires,2.929.903,12.612,2.942.515
2016,1,Capital Federal,1.328.079,9.817,1.337.896
2016,1,Catamarca,26.376,13.0,26.389
2016,1,Chaco,86.635,16.0,86.651
2016,1,Chubut,62.060,1.74,63.800
2016,1,Córdoba,609.692,234.0,609.926
2016,1,Corrientes,85.510,26.0,85.536
2016,1,Entre Ríos,174.634,179.0,174.813
2016,1,Formosa,28.313,1.0,28.314
2016,1,Jujuy,40.287,2.0,40.289
2016,1,La Pampa,65.442,487.0,65.929
2016,1,La Rioja,16.673,18.0,16.691
2016,1,Mendoza,169.257,1.553,170.810
2016,1,Misiones,92.951,7.0,92.958
2016,1,Neuquén,101.969,2.292,104.261
2016,1,Río Negro,98.745,1.077,99.822
2016,1,Salta,102.423,3.0,102.426
2016,1,San Juan,51.373,621.0,51.994
